Qual.,Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
0,Blayke Batten,UNC Greensboro,RF,0.273,0.346,0.562,0.908,43,137,121,31,33,4,2,9,26,2,12,21,0,0
0,Brandi Feeney,Saint Peter's,C,0.207,0.273,0.279,0.552,45,121,111,16,23,5,0,1,10,2,8,27,4,2
0,Brandice Boatwright,Florida A&M,P,0.165,0.232,0.198,0.43,37,101,91,3,15,1,1,0,4,2,6,14,0,0
0,Brenna Davenport,UMass Lowell,2B,0.228,0.298,0.338,0.636,48,154,136,16,31,6,0,3,12,1,13,36,2,1
0,Bri Avery,Butler,LF,0.382,0.4,0.4,0.8,47,117,110,21,42,2,0,0,10,1,3,22,20,2
0,Bri Lerma,Utah State,RF,0.201,0.327,0.276,0.603,51,161,134,19,27,5,1,1,9,15,10,22,0,0
0,Bri Stubbs,North Carolina,CF,0.355,0.477,0.461,0.938,51,177,141,38,50,10,1,1,14,4,30,35,8,1
0,Bri Walker,Central Connecticut,1B,0.229,0.342,0.366,0.708,49,155,131,7,30,6,0,4,23,2,21,36,0,0
0,Briana Marcelino,Connecticut,SS,0.367,0.445,0.612,1.057,56,218,188,47,69,13,3,9,44,2,26,32,39,1
0,Briana Martinez,New Mexico,SS,0.243,0.362,0.434,0.796,53,169,136,21,33,5,0,7,19,1,25,37,2,1
0,Briana Perez,UCLA,SS,0.392,0.452,0.726,1.178,61,211,186,49,73,18,7,10,44,4,17,27,16,4
0,Briana Ramirez,Towson,RF,0.379,0.412,0.434,0.846,47,160,145,23,55,4,2,0,11,0,8,20,4,1
0,Brianna Alston,Mississippi Valley,SS,0.3,0.347,0.318,0.666,37,122,110,14,33,0,1,0,8,1,7,10,7,4
0,Brianna Castro,Buffalo,2B,0.311,0.405,0.515,0.92,45,155,132,22,41,13,1,4,22,4,17,20,3,1
0,Brianna Clary,Stetson,LF,0.33,0.394,0.341,0.735,56,200,179,41,59,0,1,0,8,1,18,18,23,6
0,Brianna Pinto,Fordham,CF,0.296,0.343,0.361,0.703,49,181,169,29,50,6,1,1,10,2,10,47,25,0
0,Bridget Nasir,Quinnipiac,SS,0.241,0.299,0.391,0.69,41,147,133,20,32,8,3,2,12,1,10,15,6,1
0,Bridgette Strobl,Gardner-Webb,C,0.191,0.306,0.266,0.572,35,112,94,7,18,5,1,0,9,2,14,30,0,0
0,Brinaya Bailey,Kennesaw State,1B,0.329,0.409,0.434,0.842,51,164,143,9,47,3,0,4,29,6,14,29,0,0
0,Brissa Alvarado,Coppin State,2B,0.263,0.434,0.456,0.89,45,152,114,22,30,9,2,3,24,2,34,28,0,0
0,Britaney Shaw,Houston,1B,0.231,0.303,0.444,0.747,44,121,108,11,25,2,0,7,18,2,9,24,0,0
0,Britanny Phillips,Florida International,LF,0.242,0.34,0.258,0.599,49,144,120,11,29,2,0,0,9,0,19,5,4,2
0,Brittany Ford,Indiana,DH,0.304,0.351,0.593,0.944,48,148,135,15,41,9,0,10,40,2,9,25,0,0
0,Brittany Jackson,NC State,CF,0.303,0.44,0.485,0.925,56,171,132,31,40,10,1,4,23,4,29,25,5,1
0,Brittnee Rossi,Hawaii,CF,0.237,0.36,0.368,0.729,41,138,114,24,27,2,2,3,7,6,16,35,4,2
0,Brittney Manthie,Creighton,LF,0.241,0.341,0.241,0.581,36,94,79,18,19,0,0,0,0,1,11,29,3,2
