Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,service_aces,W,L,win_loss_pctg
Northern Ky.,Horizon,Midwest,1.53,11.8,36.08,2.67,15.61,0.204,12.77,0.178,176,18,13,0.581
Old Dominion,Sun Belt,South,1.53,11.1,32.3,2.26,13.05,0.222,12.03,0.222,162,12,16,0.429
Robert Morris,Horizon,Midwest,1.53,10.22,34.15,1.28,14.21,0.156,11.04,0.256,171,9,21,0.3
Brown,Ivy League,East,1.53,11.66,33.52,2.56,13.6,0.247,12.63,0.196,148,15,10,0.6
Clemson,ACC,East,1.52,12.02,35.15,1.7,14.17,0.209,12.91,0.235,186,13,18,0.419
Louisiana Tech,C-USA,South,1.52,10.17,35.33,2.06,14.56,0.164,11.17,0.216,160,11,18,0.379
ETSU,SoCon,Southeast,1.52,11.89,34.63,2.23,14.76,0.219,12.79,0.187,163,21,8,0.724
Marist,MAAC,East,1.52,11.97,33.19,1.83,14.93,0.21,12.65,0.185,163,18,11,0.621
UNI,MVC,Midwest,1.52,12.88,35.61,2.05,14.54,0.249,14.11,0.185,198,27,8,0.771
Bryant,America East,East,1.52,11.36,34.28,2.04,14.27,0.17,12.41,0.184,172,19,12,0.613
Ark.-Pine Bluff,SWAC,South,1.52,9.79,34.29,1.65,13.99,0.151,10.78,0.189,175,9,22,0.29
UCLA,Pac-12,West,1.52,12.75,35.01,2.26,14.85,0.23,13.61,0.204,164,16,13,0.552
Duquesne,Atlantic 10,East,1.52,10.73,35.08,2.23,14.55,0.167,11.4,0.223,167,8,22,0.267
The Citadel,SoCon,Southeast,1.52,11.29,36.56,1.61,16.32,0.184,12.54,0.21,170,11,19,0.367
Toledo,MAC,Midwest,1.52,12.21,35.84,2.09,15.3,0.216,13.3,0.199,170,19,13,0.594
Princeton,Ivy League,East,1.52,13.8,36.47,1.95,16.28,0.275,14.74,0.181,132,21,4,0.84
SMU,AAC,Southeast,1.52,12.82,36.77,2.26,16,0.243,13.82,0.182,176,22,10,0.688
FDU,NEC,East,1.52,10.81,32.81,1.94,13.17,0.193,11.63,0.195,179,17,16,0.515
Wofford,SoCon,Southeast,1.51,11.92,35.67,2.23,15.65,0.226,13.01,0.182,171,16,13,0.552
